player,maps,map_wins,map_win_rate,matches,match_wins,match_win_rate
Swimmer,13,3,0.230769231,3,1,0.333333333
ILLICIT,47,19,0.404255319,16,5,0.3125
dhaK,66,25,0.378787879,16,5,0.3125
im37,106,38,0.358490566,29,9,0.310344828
Babel,60,24,0.4,26,8,0.307692308
Vestola,79,32,0.405063291,23,7,0.304347826
Aztac,68,23,0.338235294,23,7,0.304347826
Daan,106,41,0.386792453,30,9,0.3
HaGoPeun,137,51,0.372262774,40,12,0.3
Schwi,33,12,0.363636364,10,3,0.3
HarryHook,164,58,0.353658537,40,12,0.3
Clestyn,28,9,0.321428571,10,3,0.3
Kaan,143,51,0.356643357,37,11,0.297297297
aKm,165,60,0.363636364,54,16,0.296296296
Sansam,108,38,0.351851852,27,8,0.296296296
xepheR,110,36,0.327272727,31,9,0.290322581
Seicoe,49,20,0.408163265,14,4,0.285714286
Highly,92,35,0.380434783,28,8,0.285714286
Prophet,27,10,0.37037037,7,2,0.285714286
Mickie,164,58,0.353658537,42,12,0.285714286
zYKK,24,8,0.333333333,7,2,0.285714286
Saucy,22,7,0.318181818,7,2,0.285714286
ELLIVOTE,68,24,0.352941176,18,5,0.277777778
Mandu,68,21,0.308823529,18,5,0.277777778
dridro,115,41,0.356521739,29,8,0.275862069
blasé,124,41,0.330645161,29,8,0.275862069
SanGuiNar,65,24,0.369230769,22,6,0.272727273
sHockWave,114,38,0.333333333,41,11,0.268292683
Logix,241,77,0.319502075,75,20,0.266666667
Seeker,51,16,0.31372549,15,4,0.266666667
Taimou,104,36,0.346153846,35,9,0.257142857
Corey,157,51,0.324840764,39,10,0.256410256
LeeSooMin,31,10,0.322580645,8,2,0.25
Jmac,82,26,0.317073171,24,6,0.25
GiG,14,4,0.285714286,4,1,0.25
Elk,11,3,0.272727273,4,1,0.25
Mouffin,17,4,0.235294118,4,1,0.25
Krystal,71,12,0.169014085,24,6,0.25
zappis,10,0,0,4,1,0.25
sayaplayer,141,40,0.283687943,41,10,0.243902439
Jerry,114,27,0.236842105,33,8,0.242424242
Becky,81,28,0.345679012,25,6,0.24
Kellan,132,45,0.340909091,34,8,0.235294118
cocco,40,14,0.35,13,3,0.230769231
Carcar,74,22,0.297297297,22,5,0.227272727
KSAA,74,22,0.297297297,22,5,0.227272727
Geguri,102,21,0.205882353,32,7,0.21875
ColourHex,218,60,0.275229358,56,12,0.214285714
